host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
1.582874,1782328557.977279,244,,BS2DCE,,f,0,0,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,1,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,2,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,3,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,4,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,5,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,6,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.582874,1782328557.977279,244,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.636262,1782328558.030667,245,,BS2DCE,,f,0,0,3582,3582,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.636262,1782328558.030667,245,,BS2DCE,,f,0,1,2174,2174,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.636262,1782328558.030667,245,,BS2DCE,,f,0,2,2185,2185,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.636262,1782328558.030667,245,,BS2DCE,,f,0,3,3281,3281,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.636262,1782328558.030667,245,,BS2DCE,,f,0,4,3746,3746,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.636262,1782328558.030667,245,,BS2DCE,,f,0,5,2313,2313,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
