version,eval_set,n,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm
v1-old,all8,24,160.01125176029524,314.7898277297456,191.64129425669003,51.58533171490821,141.4729439113985
v1-old,noG,24,154.4719914176559,330.0981647547857,191.98693210157649,51.10981213621206,140.79877232037643
v2,all8,24,81.49350301644225,233.1077736825216,132.08905070793008,42.6274901098004,68.19865499121704
v2,noG,24,80.52362848738136,242.86141958268962,133.98961108447776,46.73105049851763,69.65140336712057
v3-full,all8,24,121.05623396766201,280.0735010456271,158.98876953960595,51.27212549299621,103.99736096295487
v3-full,noG,24,116.44288510671994,290.3576587721954,159.591246087492,45.80150275356009,109.09780472186777
v3-lite,all8,24,81.69195758364084,233.52603084957047,132.28845672708738,42.8457573862228,68.7795729784018
v3-lite,noG,24,81.05486502037178,243.1695627721673,134.21599189429168,47.14008395777371,70.15471242876163
v4-io,all8,24,77.38103805352323,270.2552828594085,136.5028285215412,42.129657905593746,63.12141492353828
v4-io,noG,24,81.26715583122152,278.60151085532175,139.36634127662984,44.68738939154977,63.51166512895645
