version,ID,peer,path,tilt,facing,status,N_frames,radius,radial_std,z_plane_std,circle_thickness_std_diagnostic,circle_thickness_rms_diagnostic,circle_thickness_p95_diagnostic,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,turn_count,estimated_turns,turn_center_rms_3d_mm,turn_center_p95_3d_mm,turn_center_x_std_mm,turn_center_y_std_mm,turn_center_z_std_mm,turn_radius_std_mm,median_anchors,pct_ge7,pct_ge8
v3-lite,ID25,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1801,464.6111728689624,55.0694525134774,143.9410243122885,86.56793388815603,154.1077217351137,300.5844999436668,11.32115771593118,1289.8237666859914,2834.9244022061316,-915.2176660179395,0.02772485871030091,0.19434057465724724,-0.9805422343027274,48,47.772377626088264,24.314398396572418,42.34315999015491,12.006189269220393,10.336605025267497,18.782292063469722,7.478270819892106,8.0,99.94447529150472,87.56246529705719
v3-lite,ID25,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1800,592.8683340958211,63.800973267208946,124.6393070327521,81.23476537851134,140.02310419622827,279.7554124123496,6.9787134522234116,1289.8902464862629,2837.368954589986,-868.3730794638168,0.07142923236554223,-0.09828660465782124,0.9925913600815325,47,47.74077892154239,15.94135475537862,24.736784920941574,9.150769166211544,6.106393771351159,11.773982575100344,5.165006581705568,8.0,99.77777777777777,73.77777777777777
v3-lite,ID26,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1800,460.64712413947296,78.12737703401918,138.77836327523832,92.48851578683714,159.35406684534846,306.70753251218963,18.48125589401163,1295.969842951345,2773.7615766055824,-869.5834897381308,-0.09756969946272044,0.30160504407881317,0.9484274095221896,47,47.682438283082156,26.625749536328307,58.15256457501601,12.515503211227754,10.099061276412787,21.580389535852884,9.347564237536282,8.0,99.8888888888889,85.05555555555556
v3-lite,ID26,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1801,583.557279185232,79.3038957967099,120.5745956273478,80.96957508596438,144.37815697403286,275.704007302982,17.070814526530334,1306.7144506866232,2761.1627596297135,-857.2532284846787,0.023509674336935998,0.29261050430946084,0.9559426698188203,48,47.76814536994238,19.0916900029715,27.363277765685257,10.116077648774665,9.97087072582566,13.05735422750719,6.670964958537386,8.0,99.50027762354247,80.62187673514714
v3-lite,ID27,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1800,463.9908462712947,64.19759891448189,129.43087864785142,84.68203257019005,144.50598768307853,276.86844373961776,23.806420478234873,1387.3946424684195,2760.783780810148,-926.9090203910362,-0.21713622656057482,-0.3402696342259938,0.9149144414308599,48,47.78555951685607,27.118466401056548,45.22455487666439,11.924152966488318,11.021524018655084,22.07711148488649,8.682933497959874,8.0,100.0,86.61111111111111
v3-lite,ID27,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1801,570.2493602360539,61.89514448885495,137.82330301554668,96.07640467876655,151.07923477252157,300.0561915811199,14.337662742792668,1394.6272658179432,2754.8071538552504,-864.3645615248732,0.1630314913907014,0.18639819512356326,-0.9688531600142518,48,47.82876690389883,26.69238025903207,43.26879752238069,15.993638985100638,13.983071642311941,16.62286376067744,6.10251623328492,8.0,99.7223764575236,78.67851193781232
v3-lite,ID28,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1800,471.3961621580168,61.67248959772749,98.11199338992621,64.75204233797852,115.92409746551431,216.97090029562864,24.94302044738418,1442.4489692977609,2788.8128472062517,-958.3424837086351,0.025338960968772282,-0.42095480985191114,0.9067276245486096,47,47.5115218256433,25.06163716238334,39.69228633507306,12.736422737719614,10.034774942938457,19.463466314533896,8.70801326405728,8.0,99.94444444444444,85.83333333333333
v3-lite,ID28,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1801,593.9113550760719,58.89095207106421,110.05150019861065,72.29175586764129,124.81740279965766,235.61018739357667,20.5545416364776,1453.4063212932836,2766.4327559329668,-921.0892308485815,0.003059549711419281,-0.351085538837432,0.9363383915950435,47,47.52649216559313,20.04356380927203,33.93149587069201,11.851002708274631,9.128098648796446,13.664171216963773,7.023320735338423,8.0,99.55580233203776,74.34758467518046
v3-lite,ID29,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,458.008145396861,70.33586474435077,158.8721561842442,94.02200161115735,173.78207264263094,326.71992469615486,16.581840182220148,1392.9527763995284,2712.871838103087,-955.3518126972602,0.2777768113105077,0.06545548896070852,0.9584130748602512,47,47.691877160651224,26.300541656468933,42.7165733363464,11.054153544726544,13.111018417924033,20.31410188483197,8.012670244470502,8.0,99.94444444444444,88.55555555555556
v3-lite,ID29,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,577.4306830695215,58.5264850623205,115.89547484809874,74.9388840500982,129.83288654444286,244.03687188873388,15.92457258996551,1395.0628596887814,2731.5417319859303,-903.5492248897735,0.2575526132280987,0.09458571838748087,0.9616237275028637,47,47.69914691197822,15.657852397167321,23.863129832035426,7.181521014511174,9.56352355181334,10.366429541651978,6.6683391740607,8.0,99.66666666666667,70.94444444444444
