host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
24.523895,1782219277.289793,1338,,BSF66F,,f,0,2,0,0,0,0,T,3,0,15777,8,3,,,,,,0,0,,,,,0
24.523895,1782219277.289793,1338,,BSF66F,,f,0,3,0,0,0,0,T,3,0,15777,8,3,,,,,,0,0,,,,,0
24.523895,1782219277.289793,1338,,BSF66F,,f,0,4,0,2092,5,0,T,3,0,15777,8,3,,,,,,0,0,,,,,0
24.523895,1782219277.289793,1338,,BSF66F,,f,0,5,0,0,0,0,T,3,0,15777,8,3,,,,,,0,0,,,,,0
24.523895,1782219277.289793,1338,,BSF66F,,f,0,6,0,0,0,0,T,3,0,15777,8,3,,,,,,0,0,,,,,0
24.523895,1782219277.289793,1338,,BSF66F,,f,0,7,1708,1708,25,1,O,3,0,15777,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,0,0,0,0,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,1,0,0,0,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,2,0,0,0,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,3,0,0,0,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,4,0,2092,4,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,5,0,0,0,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,6,0,0,0,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
24.76422,1782219277.530118,1339,,BSF66F,,f,0,7,0,1708,23,0,T,3,0,38940,8,3,,,,,,0,0,,,,,0
