version,ID,peer,path,tilt,facing,status,N_frames,radius,radial_std,z_plane_std,circle_3d_std,circle_3d_rms,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,median_anchors,pct_ge7,pct_ge8
v4-io,ID25,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1801,465.70653264895805,54.347913864090195,148.92014875362477,90.96784538045583,158.5151944496769,10.37834340442191,1298.7760622779426,2818.9946902217976,-962.8374283379195,0.07670427409095291,0.16300161584930506,-0.9836396329788138,8.0,99.94447529150472,87.56246529705719
v4-io,ID25,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1800,595.5356380197077,65.12917484479753,128.26734444288763,83.45503764602358,143.8595480439662,5.630512846205206,1300.7376560485393,2819.2868468783745,-908.6369270298115,0.03390558362807659,-0.09206818855846666,0.9951752911193094,8.0,99.77777777777777,73.77777777777777
v4-io,ID26,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1800,462.1445523993462,77.68667109946905,144.56039700116543,94.32781257141295,164.19855288897415,19.588123814612562,1303.019612041037,2757.392250180228,-923.8515933616527,-0.1162519924050898,0.3144554930335277,0.9421269644601454,8.0,99.8888888888889,85.05555555555556
v4-io,ID26,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1801,588.1934174628321,82.13391879620052,122.32685965172483,81.47579347589732,147.41424215615504,16.924524107887517,1309.9043852323327,2742.3322336136607,-898.9417439101459,-0.008202960617577021,0.29099611378563595,0.9566890681923589,8.0,99.50027762354247,80.62187673514714
v4-io,ID27,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1800,465.79266356251713,65.34515194734445,132.27592776457757,88.72565465127477,147.5669745816545,24.831430241756994,1396.298695151557,2737.4854235889643,-971.0493720889668,-0.2260098463669371,-0.3539456796346517,0.9075472468214304,8.0,100.0,86.61111111111111
v4-io,ID27,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1801,570.1110535032419,60.412132849607296,142.02150795048027,100.11795050604572,154.3269265895302,15.265050761071894,1406.4133611700668,2738.847723340833,-907.1537226321741,0.20526214938256454,0.16488254044827377,-0.964718196099863,8.0,99.7223764575236,78.67851193781232
v4-io,ID28,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1800,471.0312440777307,60.84556382994236,100.73404924623668,65.78690257234351,117.71743219471502,25.253949952067273,1454.0496446295026,2768.1860094851318,-992.7649496167744,0.004564513691437812,-0.42660667322728985,0.9044257357974202,8.0,99.94444444444444,85.83333333333333
v4-io,ID28,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1801,595.5653465452043,62.29175412170976,119.12848583157907,78.60869800067093,134.4339359661872,20.05163548741524,1469.2197003135325,2749.4198507536125,-954.1642163839294,0.038709811380568296,0.34067467904763843,-0.9393840075063388,8.0,99.55580233203776,74.34758467518046
v4-io,ID29,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,456.56299686613477,68.5000553139702,164.9544909446465,100.39802227446023,178.63705043210894,14.409432344925126,1404.4831008713772,2694.1907571822267,-1005.0829390634831,0.2267720587443093,0.10247158643381282,0.9685422073129312,8.0,99.94444444444444,88.55555555555556
v4-io,ID29,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,577.901723622877,58.59872718853933,122.13916337224774,80.76242185623865,135.46384326789854,13.871625980146534,1405.2756349257104,2709.920186817909,-942.1820055673547,0.2155062172566539,0.10505158574331697,0.9708353282903041,8.0,99.66666666666667,70.94444444444444
v4-io,ID30,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,mid,BCGF,ok,1801,492.18380389148143,78.11260805086772,69.34985942940058,59.83705675308191,104.61258769926484,59.13752389030621,1495.7249956515589,2540.820628926637,-874.7017148383724,0.0943598205300592,-0.8531990290009127,-0.5129791820156393,8.0,99.94447529150472,91.28262076624097
v4-io,ID30,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,mid,BCGF,ok,1800,566.4059152422626,71.40890528476133,64.81445198473592,50.074226448547876,96.5162193955658,50.64825467096653,1512.0587787033828,2525.021158352902,-859.04641956245,0.09768132845390745,-0.7670733724905102,-0.6340794897231053,7.0,99.66666666666667,48.5
v4-io,ID31,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,mid,CDHG,ok,1800,433.81526817930484,68.20157182161358,76.07859299511428,51.96977431816033,102.28722636897332,48.97859426523673,1550.7003396855998,2706.8113661427733,-947.4389697593426,-0.7476626391057308,-0.10107989156575836,0.6563409431130356,8.0,99.8888888888889,89.55555555555556
v4-io,ID31,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,mid,CDHG,ok,1801,550.5244440040714,73.05867001766184,66.40950457959718,45.24138773178612,98.82338921491855,46.79663412859026,1570.2145148441161,2707.4846978901915,-926.931446430296,0.7274744353282969,0.04601712588240192,-0.6845899284018856,8.0,99.61132704053304,61.188228761799
v4-io,ID32,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID32_20260513_171939,mid,ADHE,ok,1800,499.31248759656785,68.09464278392281,67.4345833066166,50.16555915167462,95.92152775175423,58.515887286736856,1345.0622868299886,2843.2662713828686,-928.7330638736763,-0.019628673057862416,0.8525590849327772,-0.5222621199096993,8.0,99.94444444444444,89.05555555555556
